"","labanimalid","shipmentcohort","runwayfiles","progpunfiles","delayed_punishmentfiles","progratiofiles","locomotorfiles"
"1","U100",4.1,2018-11-26,2018-12-07,2018-12-11,2018-12-10,2018-12-11
"2","U101",4.1,2018-11-26,2018-12-10,2018-12-13,2018-12-12,2018-12-13
"3","U102",4.1,2018-11-26,2018-12-10,2018-12-15,2018-12-13,2018-12-14
"4","U103",4.1,2018-11-26,2018-12-11,2018-12-14,2018-12-13,2018-12-14
"5","U104",4.1,2018-11-26,2018-12-12,2018-12-17,2018-12-14,2018-12-16
"6","U107",4.2,2018-12-04,2019-01-17,2019-01-22,2019-01-19,2019-01-21
"7","U108",4.2,2018-12-04,2019-01-17,2019-01-22,2019-01-19,2019-01-21
"8","U109",4.2,2018-12-04,2019-01-17,2019-01-22,2019-01-19,2019-01-21
"9","U111",4.2,2018-12-04,2019-01-17,2019-01-22,2019-01-19,2019-01-21
"10","U112",4.2,2018-12-04,2019-01-17,2019-01-22,2019-01-19,2019-01-21
"11","U114",4.2,2018-12-04,2019-01-17,2019-01-22,2019-01-19,2019-01-21
"12","U118",4.2,2018-12-04,2019-01-19,2019-01-24,2019-01-23,2019-01-24
"13","U119",4.2,2018-12-05,2019-01-19,2019-01-24,2019-01-23,2019-01-24
"14","U120",4.2,2018-12-05,2019-01-19,2019-01-25,2019-01-23,2019-01-24
"15","U121",4.3,2018-12-06,2019-01-19,2019-01-24,2019-01-23,2019-01-24
"16","U122",4.3,2018-12-06,2019-01-19,2019-01-25,2019-01-23,2019-01-24
"17","U123",4.3,2018-12-06,2019-01-23,2019-01-27,2019-01-25,2019-01-26
"18","U124",4.3,2018-12-05,2019-01-06,2019-01-09,2019-01-08,2019-01-09
"19","U125",4.3,2018-12-05,2019-01-06,2019-01-09,2019-01-08,2019-01-09
"20","U126",4.3,2018-12-05,2019-01-06,2019-01-09,2019-01-08,2019-01-09
"21","U127",4.3,2018-12-05,2019-01-06,2019-01-10,2019-01-08,2019-01-10
"22","U128",4.3,2018-12-06,2019-01-06,2019-01-09,2019-01-08,2019-01-09
"23","U129",4.3,2018-12-06,2019-01-06,2019-01-10,2019-01-08,2019-01-09
"24","U130",4.3,2018-12-06,2019-01-07,2019-01-10,2019-01-09,2019-01-10
"25","U131",4.3,2018-12-05,2019-01-06,2019-01-09,2019-01-08,2019-01-09
"26","U132",4.3,2018-12-05,2019-01-06,2019-01-09,2019-01-08,2019-01-09
"27","U133",4.3,2018-12-06,2019-01-06,2019-01-09,2019-01-08,2019-01-09
"28","U134",4.3,2018-12-06,2019-01-06,2019-01-09,2019-01-08,2019-01-09
"29","U135",4.3,2018-12-06,2019-01-06,2019-01-09,2019-01-08,2019-01-09
"30","U136",4.3,2018-12-05,2019-01-09,2019-01-12,2019-01-11,2019-01-12
"31","U137",5.1,2019-01-10,2019-01-20,2019-01-25,2019-01-24,2019-01-25
"32","U138",5.1,2019-01-10,2019-01-20,2019-01-26,2019-01-24,2019-01-25
"33","U139",5.1,2019-01-10,2019-01-20,2019-01-26,2019-01-24,2019-01-25
"34","U140",5.1,2019-01-10,2019-01-20,2019-01-25,2019-01-24,2019-01-25
"35","U141",5.1,2019-01-13,2019-01-24,2019-01-28,2019-01-26,2019-01-28
"36","U142",5.1,2019-01-13,2019-01-24,2019-01-28,2019-01-26,2019-01-28
"37","U144",5.1,2019-01-10,2019-01-22,2019-01-26,2019-01-24,2019-01-26
"38","U145",5.1,2019-01-10,2019-01-24,2019-01-28,2019-01-26,2019-01-28
"39","U146",5.1,2019-01-10,2019-01-20,2019-01-25,2019-01-24,2019-01-25
"40","U147",5.1,2019-01-10,2019-01-20,2019-01-25,2019-01-24,2019-01-25
"41","U148",5.1,2019-01-10,2019-01-20,2019-01-25,2019-01-24,2019-01-25
"42","U149",5.1,2019-01-10,2019-01-23,2019-01-27,2019-01-25,2019-01-27
"43","U150",5.1,2019-01-10,2019-01-20,2019-01-25,2019-01-24,2019-01-25
"44","U151",5.1,2019-01-10,2019-01-20,2019-01-25,2019-01-24,2019-01-25
